data,metric,seed,type,number
VS,recall10,1025,incremental,0.1461
VS,ndcg10,1025,incremental,0.4026
VS,recall20,1025,incremental,0.2176
VS,ndcg20,1025,incremental,0.3455

VS,recall10,1026,incremental,0.1442
VS,ndcg10,1026,incremental,0.3975
VS,recall20,1026,incremental,0.2126
VS,ndcg20,1026,incremental,0.3407

VS,recall10,1027,incremental,0.1448
VS,ndcg10,1027,incremental,0.3970
VS,recall20,1027,incremental,0.2137
VS,ndcg20,1027,incremental,0.3402

VS,recall10,1027,dec_cust_100_basket_10,0.1424
VS,ndcg10,1027,dec_cust_100_basket_10,0.3968
VS,recall20,1027,dec_cust_100_basket_10,0.2121
VS,ndcg20,1027,dec_cust_100_basket_10,0.3411

TF,recall10,1025,incremental,0.3668
TF,ndcg10,1025,incremental,0.2162
TF,recall20,1025,incremental,0.6021
TF,ndcg20,1025,incremental,0.2167

TF,recall10,1026,incremental,0.3601
TF,ndcg10,1026,incremental,0.2023
TF,recall20,1026,incremental,0.5972
TF,ndcg20,1026,incremental,0.2024

TF,recall10,1027,incremental,0.3736
TF,ndcg10,1027,incremental,0.2093
TF,recall20,1027,incremental,0.6079
TF,ndcg20,1027,incremental,0.2086

TF,recall10,1027,dec_cust_100_basket_10,0.3728
TF,ndcg10,1027,dec_cust_100_basket_10,0.2089
TF,recall20,1027,dec_cust_100_basket_10,0.6076
TF,ndcg20,1027,dec_cust_100_basket_10,0.2082

TF,recall10,1027,dec_cust_1k_basket_10,0.3736
TF,ndcg10,1027,dec_cust_1k_basket_10,0.2093
TF,recall20,1027,dec_cust_1k_basket_10,0.6079
TF,ndcg20,1027,dec_cust_1k_basket_10,0.2086

IS,recall10,1025,incremental,0.1718
IS,ndcg10,1025,incremental,0.5789
IS,recall20,1025,incremental,0.2283
IS,ndcg20,1025,incremental,0.5024

IS,recall10,1026,incremental,0.1697
IS,ndcg10,1026,incremental,0.5848
IS,recall20,1026,incremental,0.2279
IS,ndcg20,1026,incremental,0.5072

IS,recall10,1027,incremental,0.1713
IS,ndcg10,1027,incremental,0.5832
IS,recall20,1027,incremental,0.2296
IS,ndcg20,1027,incremental,0.5056

IS,recall10,1027,dec_cust_100_basket_10,0.1712
IS,ndcg10,1027,dec_cust_100_basket_10,0.5812
IS,recall20,1027,dec_cust_100_basket_10,0.2299
IS,ndcg20,1027,dec_cust_100_basket_10,0.5041